surface,method,noise,progress
HIP,CS²-GAD,0.1,18.0
HIP,CS²-GAD,0.1,18.0
HIP,CS²-GAD,0.1,18.0
HIP,CS²-GAD,0.1,18.0
HIP,CS²-GAD,0.1,18.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,19.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,20.0
HIP,CS²-GAD,0.1,21.0
HIP,CS²-GAD,0.1,21.0
HIP,CS²-GAD,0.1,21.0
HIP,CS²-GAD,0.1,22.0
HIP,CS²-GAD,0.1,22.0
HIP,CS²-GAD,0.1,22.0
HIP,CS²-GAD,0.1,23.0
HIP,CS²-GAD,0.1,23.0
HIP,CS²-GAD,0.1,23.0
HIP,CS²-GAD,0.1,24.0
HIP,CS²-GAD,0.1,24.0
HIP,CS²-GAD,0.1,25.0
HIP,CS²-GAD,0.1,25.0
HIP,CS²-GAD,0.1,26.0
HIP,CS²-GAD,0.1,26.0
HIP,CS²-GAD,0.1,28.0
HIP,CS²-GAD,0.1,30.0
HIP,CS²-GAD,0.1,31.0
HIP,CS²-GAD,0.1,44.0
HIP,CS²-GAD,0.1,49.0
HIP,CS²-GAD,0.1,62.0
HIP,CS²-GAD,0.1,64.0
HIP,CS²-GAD,0.1,109.0
HIP,CS²-GAD,0.15,13.0
HIP,CS²-GAD,0.15,13.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,14.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,15.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,16.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,17.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,18.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,19.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,20.0
HIP,CS²-GAD,0.15,21.0
