n,fmax_005,fmax_023,fmax_010,fmax_005t,fmax_001,from_log,config,noise_pm
89,97.75280898876404,97.75280898876404,70.78651685393258,0.0,0.0,True,GAD dt=0.005 ×10k,50
12,100.0,100.0,75.0,75.0,0.0,True,Sella libdef ×10k,50
14,85.71428571428571,85.71428571428571,71.42857142857143,35.714285714285715,0.0,True,Hybrid damped ×10k,50
