method,trust_radius,noise_pm,n,n_conv,conv_pct,avg_total_steps,med_total_steps,med_step_conv,p95_step_conv,avg_wall_s,med_wall_s,total_wall_s,wall_per_conv_s,avg_fmax,min_fmax,avg_n_neg,n_used_newton,frac_used_newton
hybrid_damped_eckart_swfalse,0.005,10,287,131,45.64459930313589,864.4006968641115,1000.0,702.0,954.5,51.63019333234647,58.87186813354492,14817.865486383438,113.11347699529342,0.016019004322658046,0.009180422140613384,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.01,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,54.00735377185436,61.634689807891846,15500.110532522202,116.54218445505414,0.01602820186971208,0.009184280946654562,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.02,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,51.33072005747087,58.741875648498535,14731.91665649414,110.76629065033188,0.016028245720261926,0.00918429590723042,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.05,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,52.4966285129042,60.29975986480713,15066.532383203506,113.28219836995117,0.016028175965582554,0.009183536618456776,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.1,10,287,133,46.34146341463415,863.5156794425087,1000.0,702.0,971.0,53.223724666788186,60.65174412727356,15275.20897936821,114.85119533359557,0.01602820658740904,0.009184390439625004,1.0209059233449478,0,0.0
hybrid_damped_eckart_swfalse,0.005,100,287,1,0.34843205574912894,999.7108013937283,1000.0,916.0,916.0,61.19119251480501,61.31233072280884,17561.87225174904,17561.87225174904,0.17550260028511885,0.009802467508858888,1.1045296167247387,0,0.0
hybrid_damped_eckart_swfalse,0.01,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.206117998016836,59.12520217895508,16992.155865430832,16992.155865430832,0.16142230607839625,0.009565306213225318,1.1045296167247387,0,0.0
hybrid_damped_eckart_swfalse,0.02,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,58.725709044559494,58.55501651763916,16854.278495788574,16854.278495788574,0.1712284222281703,0.009399168099653172,1.1010452961672474,0,0.0
hybrid_damped_eckart_swfalse,0.05,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.08285469875934,58.84811997413635,16956.77929854393,16956.77929854393,0.18410434422956928,0.009356694216910438,1.0975609756097562,0,0.0
hybrid_damped_eckart_swfalse,0.1,100,287,1,0.34843205574912894,999.7073170731708,1000.0,915.0,915.0,59.61065184197775,59.41006302833557,17108.257078647614,17108.257078647614,0.17586607091431958,0.009357216141593466,1.0975609756097562,0,0.0
hybrid_damped_eckart_swtrue,0.005,10,287,249,86.7595818815331,168.8432055749129,38.0,35.0,64.0,10.471769017209574,2.4796864986419678,3005.397707939148,12.069870313008627,0.011259089374059712,0.00335232314155409,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.01,10,287,249,86.7595818815331,152.01393728222996,21.0,19.0,36.0,9.346037769982209,1.3364620208740234,2682.312839984894,10.772340722830899,0.010690221479123775,0.0035464307594147417,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.02,10,287,247,86.06271777003484,151.61324041811847,12.0,10.0,25.0,9.183204494702276,0.798297643661499,2635.579689979553,10.670363117326126,0.010364164385507933,0.003026419025428888,1.024390243902439,281,0.9790940766550522
hybrid_damped_eckart_swtrue,0.05,10,287,246,85.71428571428571,151.05226480836237,8.0,6.0,21.0,9.49529942236711,0.5153605937957764,2725.1509342193604,11.077849326094961,0.010407920734366517,0.00312658976359886,1.0278745644599303,280,0.975609756097561
hybrid_damped_eckart_swtrue,0.1,10,287,245,85.36585365853658,153.56445993031357,7.0,5.0,21.799999999999983,9.38814523244984,0.4240095615386963,2694.3976817131042,10.99754155801267,0.010242159764264519,0.0024011202300461615,1.0278745644599303,280,0.975609756097561
hybrid_damped_eckart_swtrue,0.005,100,287,191,66.55052264808363,566.9442508710802,376.0,330.0,489.0,36.11583903359204,24.637145519256592,10365.245802640915,54.268302631627826,0.20342735445020693,0.0049035839809341624,1.1219512195121952,254,0.8850174216027874
hybrid_damped_eckart_swtrue,0.01,100,287,191,66.55052264808363,465.32752613240416,205.0,173.0,328.0,28.98672219851291,13.336690902709961,8319.189270973206,43.55596476949322,0.16939661806344983,0.003687287428786021,1.1358885017421603,250,0.8710801393728222
hybrid_damped_eckart_swtrue,0.02,100,287,190,66.2020905923345,419.5993031358885,120.0,94.0,287.9499999999998,26.18911229525709,7.73527193069458,7516.275228738785,39.5593433091515,0.22184129335752498,0.0036058517737606603,1.1428571428571428,248,0.8641114982578397
